Population,RegionName,Time,Indicator,NumValue
Third-gen cephalosporins,Hungary,2014,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Ireland,2014,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Iceland,2014,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Italy,2014,"I - 'susceptible, increased exposure' isolates ",18.000000000
Third-gen cephalosporins,Lithuania,2014,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Luxembourg,2014,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Latvia,2014,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Malta,2014,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Netherlands,2014,"I - 'susceptible, increased exposure' isolates ",6.000000000
Third-gen cephalosporins,Norway,2014,"I - 'susceptible, increased exposure' isolates ",10.000000000
Third-gen cephalosporins,Poland,2014,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Portugal,2014,"I - 'susceptible, increased exposure' isolates ",35.000000000
Third-gen cephalosporins,Romania,2014,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Sweden,2014,"I - 'susceptible, increased exposure' isolates ",13.000000000
Third-gen cephalosporins,Slovenia,2014,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Slovakia,2014,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,United Kingdom,2014,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,Austria,2015,"I - 'susceptible, increased exposure' isolates ",13.000000000
Third-gen cephalosporins,Belgium,2015,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Bulgaria,2015,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Cyprus,2015,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Czechia,2015,"I - 'susceptible, increased exposure' isolates ",20.000000000
Third-gen cephalosporins,Germany,2015,"I - 'susceptible, increased exposure' isolates ",10.000000000
Third-gen cephalosporins,Denmark,2015,"I - 'susceptible, increased exposure' isolates ",11.000000000
Third-gen cephalosporins,Estonia,2015,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Greece,2015,"I - 'susceptible, increased exposure' isolates ",16.000000000
Third-gen cephalosporins,Spain,2015,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,Finland,2015,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,France,2015,"I - 'susceptible, increased exposure' isolates ",31.000000000
Third-gen cephalosporins,Croatia,2015,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,Hungary,2015,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Ireland,2015,"I - 'susceptible, increased exposure' isolates ",8.000000000
Third-gen cephalosporins,Iceland,2015,"I - 'susceptible, increased exposure' isolates ",0.000000000
